subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Gender & Feminist Study,SOCIO324,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Sociology of Economic Development,SOCIO325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Stratification & Differentiation,SOCIO326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Perspectives on Change & Development,SOCIO323,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Social Research,SOCIO322,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Sociological Theory I,SOCIO315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Economy and Society of Nepal,SOCIO316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Nepali Society,SOCIO314,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Creative Poetry Writing,ENG465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Sociology,SOCIO312,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Foundation of Sociological Thoughts,SOCIO313,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Writing for the Media,ENG464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Chinese Literature in English,ENG463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Critical Reading and Writing,ENG466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
English Teacher Professional Dev.,ENG471,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
ELT Materials Design Seminar,ENG472,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Introduction to SLA,ENG473,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
"Reading,Writing & Critical Thinking",ENG474,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Phonetics and Phonology,ENG475,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Language and Power,ENG476,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Planning in ELT,ENG481,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : On Campus,ENG482,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : Off Campus,ENG483,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Foundation of Health,HEP315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Human Anatomy and Physiology,HEP316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Anatomy and Physiology,HEP325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Communicable Diseases Control,HEP326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Foundations of Health Promotion,HEP333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
"Society, Culture and Health",HEP334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Demography and Health,HEP335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Food and Nutrition Education,HEP336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Health Psychology and Health Behavior,HEP343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Epidemiology,HEP344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Essentials of Environmental Health,HEP345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Reproductive Health,HEP346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Foundations of Public Health,HEP451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Non Communicable Disease Prevention,HEP452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Biostatistics and Computer Application ,HEP453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Adolescent Health and Sexuality,HEP454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Method For Health Edu.&Promo.,HEP455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
"Curriculum,Measurement & Evu.in HEP",HEP456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
School Health Programme,HEP461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Health Service Management in Nepal,HEP462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Mental Health & Drug Abuse,HEP463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Occupational Health and Safety,HEP464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Disaster and Emergency Management,HEP465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Training & Leadership Dev. in Health Edu,HEP466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Primary Health Care & Development,HEP471,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Needs Assessment in Community Health,HEP472,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Management & Supervision of SHP,HEP473,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Professional Dev. & HRM in Health Edu.,HEP474,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Health Promotion in School & Community,HEP475,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Contemporary Health Challenges,HEP476,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Practicum on Community Health Edu.,HEP481,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Student Teaching :On Campus ,HEP482,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Student Teaching : Off Campus,HEP483,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Curriculum Planning,EPM315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Educational Management &Organization,EPM316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Policy Planning In Education,EPM325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
School Supervision,EPM326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Test Development and Assessment,EPM333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Curriculum Development in Nepal,EPM334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teacher Professional Development,EPM335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
School Based Management,EPM336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Cotemporary Issues of Curriculum,EPM343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Diversity and Education,EPM344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Classroom Management,EPM345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Alternative Approaches to Education,EPM346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
School Development Plan,EPM451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
School Culture and Leadership,EPM452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Conflict Management and Peace Edu.,EPM453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Non Formal Approaches to Edu.,EPM454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Pedagogy in the Classroom,EPM455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Technology in Education,EPM456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Gender and Education,EPM461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Inclusive Education,EPM462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Education and Sustainability,EPM463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Globalization and Education,EPM464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Knowledge Management,EPM465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Quality in Education,EPM466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Critical thinking in Education,EPM471,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Change Management in Education,EPM472,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Educational Administration,EPM473,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
ICTs and Learning Transfer,EPM474,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Foundation of Education Planning,EPM475,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teacher Education,EPM476,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Reflective Practices in Education,EPM481,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : On Campus,EPM482,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Students Teaching : Of Campus,EPM483,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Calculus for Teacher,MATH315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Number Theories for Teacher,MATH316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Matrix Algebra,MATH325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Geometry for Teacher,MATH326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Algebra for Teacher,MATH333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Discrete Mathematics,MATH334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Logic for Teacher,MATH335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Graph Theory,MATH336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Probability With Stochastic for Teacher,MATH343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Trigonometry for Teacher,MATH344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Vector Analysis for Teacher,MATH345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Material Development,MATH346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Real Analysis,MATH451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Analytical Solid Geometry,MATH452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Abstract Algebra,MATH453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Projective Geometry,MATH454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Mathematical Programs,MATH455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Inferential Statistics,MATH456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Data Modeling,MATH461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Principles of Real Analysis,MATH462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Political Demography,POP465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Current Field Work V + Urban Camp,SW455,4,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Work and Social Development,SW452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Work Problems & SW Concern,SW453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Areas of Social Work I,SW454,4,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Fieldwork I+Neighborhood camp,SW316,4,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Group Work: Working with Groups,SW322,4,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Case Work: Working with Individuals,SW315,4,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Intro. to SW:History, Philosophy&Methods",SW312,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Sociology for Social Work,SW313,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Field Work Concept, Theory & Practice",SW314,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Medical & Psychiatric in Social Work,SW451,4,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work IV,SW345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Theories of Social Work,SW343,4,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Rural & Urban Community Dev.for SW,SW344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Work Administration,SW342,4,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development Psychology,SW334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Concurrent Field Work III + Rural Camp,SW335,4,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Generalist Social Work Practice,SW341,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Communication for Social Work,SW333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Action and Social Movements,SW332,4,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Basics of Cryptography,MATH472,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Topology,MATH473,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Complex Analysis,MATH474,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Operation Research,MATH475,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Theory of Mathematics,MATH476,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Action Research in Teaching Math.,MATH481,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Student Teaching: On Campus,MATH482,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Literary Essays,ENG335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Community Organization,SW331,4,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Multivariable Calculus,MATH463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Differential Equations,MATH464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Abstract Algebra,MATH465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Instructional Design in Mathematics,MATH466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Mathematical Modeling,MATH471,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Translation Studies,ENG334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introduction to Logic,ENG331,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
History of English Language,ENG332,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Literary Theory,ENG333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Foundations of Population Education,POP315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Principles of Demography,POP316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
English Language Proficiency II,EDU321,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Reading in Nepali Language ,EDU322,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Emerging Theories of Language,EDU323,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Curriculum and Assessment ,EDU324,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Direct Techniques for Pop. Analysis,POP325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Mathematics,POP326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Educational Development in Nepal,EDU331,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Guidance and Counseling,EDU332,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fertility,POP333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Mortality,POP334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Migration,POP335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population Policy,POP336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Social Justice and Education,EDU341,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fundamental of Research in Education ,EDU342,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population Dynamics in Nepal,POP343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population Environment and Development,POP344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population and Quality of Life,POP345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Sexual and Reproductive Health Edu.,POP346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Foundation of Public Health ,POP451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Ageing Education ,POP452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Maternal and Child health,POP453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Nutration Education,POP454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population Management,POP455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Drug Abuse and its Management,POP456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Gender studies,POP461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Population and Conflict,POP462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fundamentals of Epidemiology,POP463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Child Labour ,POP464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Poltical Demography,POP,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Basic Statistics,POP466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Leadership in Population Education,POP471,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Community Survey,POP472,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Curriculum Development in Pop. Edu.,POP473,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Technique & commu. in Pop. Edu.,POP474,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Information Technology and Pop. Edu.,POP475,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Audio Visual Aids in Population Edu.,POP476,3,7,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Seminar on Population Education,POP481,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Practice On Campus,POP482,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Practice Off Campus,POP483,3,8,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
language and Linguistics,ENG315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Study Skills and Academic Writing ,ENG316,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Fiction Study,ENG325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
English for Academic Purpose ,ENG326,3,2,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
World English,ENG333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Writing Workshop,ENG334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Listening& Speaking for Academic Purpose,ENG335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Introduction to Translation Studies,ENG336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Creative Writing Seminar,ENG343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Media English,ENG344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Poetry Study,ENG345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Introduction to Eng. language Teaching,ENG346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Listening and Speaking,ENG451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Vocabulary and Grammar,ENG452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching Reading and Writing,ENG453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Researching English Language,ENG454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Bilingualism and Multilingualism,ENG455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
English for Business Communication,ENG456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Using Literature for Language  Dev.,ENG461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Teaching English to Young Learners,ENG462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Interdisciplinary Reading,ENG463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Writing English Language Tests,ENG464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Drama Study,ENG465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
English Language Proficiency I,EDU311,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Compulsory Nepali I,EDU312,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Socio Philosophical Foundations of Edu.,EDU313,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Human Development,EDU314,3,1,Musikot Khalanga Multiple Campus,Bachelor of Education,Bachelor
Marketing Management,MGMT335.,3,1,Musikot Khalanga Multiple Campus,Bachelor of Business Studies,Bachelor
Pr.Workshop&Field based Std.cum Sem.VI,DE465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Economics of Health & Education,DE466A,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Ethics, Ecology & Economy",DE466B,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Environmental Economics,DE464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Science Research Methodology,DE463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Management  Accounting,MGMT451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Business Studies,Bachelor
Statistical Methods in Economics I,DE461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Mathematical Methods in Economics I,DE462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Gender and Development,DE456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development and Environment,DE453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development Theory & Experience II,DE454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.V,DE455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
International Economics,DE452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Applied Econometrics,DE451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem IV,DE345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Governance and Development,DE346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development Theory and Experience I,DE344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Nepalese Economy B,DE341,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development Economics,DE342,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Community Development and Planning,DE343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Dynamics &Dev.of Nepalese Highland Ecos.,DE336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.III,DE335,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Basics of Governance (Dev. Relation),DE333,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Political Economy,DE334,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Economic Development,DE332,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introductory Econometrics,DE324,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.II,DE325,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Nepalese Economy A,DE331,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Macroeconomics,DE323,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Microeconomics,DE322,3,2,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introductory Macroeconomics,DE313,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Pr.Workshop&Field based Std.cum Sem.I,DE315,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Introductory Microeconomics,DE312,3,1,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Newsroom Management,BJMC464,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
"Web Language, Designing & Blogging",BJMC465,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Reporting on Social Issues,BJMC466,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Media Economics & Marketing,BJMC463,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Development Communication & Journalism,BJMC462,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Multimedia Publication,BJMC456,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Media Laws & Rights,BJMC461,3,6,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Mass Media Research II,BJMC455,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Public Relations,BJMC452,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Advertising Basics,BJMC453,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Social Media & Applications,BJMC454,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Broadcasting Journalism II (Television),BJMC451,3,5,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
House Journal Publishing,BJMC346,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Citizen Journalism,BJMC344,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Language for Mass Media (English),BJMC345,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Fundamentals of Mass Media Research I,BJMC343,3,4,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
Language for Mass Media (Nepali),BJMC336,3,3,Musikot Khalanga Multiple Campus,Bachelor of Arts,Bachelor
